p_id,title,rate,tags,address,url
205,심돈 본점,3.8,"육류,고기",울산 중구 종가6길 8-18 2층 201-A호 (우)44542,https://place.map.kakao.com/1899467266
206,명륜진사갈비 울산달동점,3.7,명륜진사갈비,울산 남구 신정로18번길 8 (우)44725,https://place.map.kakao.com/314895360
207,맥도날드 울산호계SKDT점,3.2,맥도날드,울산 북구 산업로 1448 (우)44221,https://place.map.kakao.com/17214575
208,라멘집입니다 울산성안점,3.5,일식,울산 중구 성안1길 137 (우)44418,https://place.map.kakao.com/728969272
209,맥도날드 달동점,3.3,맥도날드,울산 남구 신정로 37 (우)44722,https://place.map.kakao.com/8331012
210,명촌불고기명불허전,5.0,"불고기,두루치기",울산 북구 명촌12길 8 (우)44254,https://place.map.kakao.com/1187183419
211,규합총서,3.0,갈비,울산 남구 옥현로 123 진보타워 1층 (우)44611,https://place.map.kakao.com/19393373
212,제주은희네해장국 울산명촌점,4.7,제주은희네해장국,울산 북구 명촌로 20 1층 (우)44254,https://place.map.kakao.com/824142914
213,고로치,4.5,디저트카페,울산 북구 송정16길 26 1층 101호 (우)44236,https://place.map.kakao.com/1953216887
214,대왕곰장어,1.4,장어,울산 중구 번영로 325 (우)44531,https://place.map.kakao.com/10232336
215,대게명가,4.2,"게,대게",울산 북구 정자1길 19 (우)44233,https://place.map.kakao.com/14733410
216,주전백숙,4.1,닭요리,울산 동구 동해안로 681 (우)44013,https://place.map.kakao.com/9422889
217,청기와,4.4,곰탕,울산 울주군 언양읍 장터2길 11-3 (우)44946,https://place.map.kakao.com/21378679
218,삼정한우축산,4.1,"육류,고기",울산 북구 매곡로 204 (우)44222,https://place.map.kakao.com/1040394413
219,스타벅스 울산북구청DT점,4.5,스타벅스,울산 북구 산업로 1011 (우)44238,https://place.map.kakao.com/1868252532
220,산갈래닭갈비 화봉점,3.8,닭요리,울산 북구 화산중앙로 94-3 1층 104호 (우)44240,https://place.map.kakao.com/13043721
221,파파앤썬 by랑콩뜨레,3.0,"제과,베이커리",울산 북구 박상진6로 7 (우)44236,https://place.map.kakao.com/2119274779
222,맥도날드 울산병영점,2.5,맥도날드,울산 중구 번영로 576 (우)44495,https://place.map.kakao.com/18989662
223,젊은부부 꼬순떡,2.4,분식,울산 중구 중앙길 127 1층 (우)44529,https://place.map.kakao.com/1259236391
224,소오소오,4.0,카페,울산 중구 풍암길 187-2 (우)44414,https://place.map.kakao.com/535852343
225,오사카멘치 삼산,4.3,"돈까스,우동",울산 남구 왕생로72번길 19 1층 (우)44703,https://place.map.kakao.com/252744155
226,막창드라마 본점,3.7,"곱창,막창",울산 중구 곽남1길 30 (우)44492,https://place.map.kakao.com/12760901
