,p_id,0,1,2,3,4,5,6,7,8,9
0,44,0,0,0,0,0,0,0,2,0,0
0,44,0,0,0,0,0,0,0,3,0,0
0,44,0,0,0,0,0,0,2,0,0,0
0,44,1,0,0,0,2,0,4,1,0,1
0,44,1,0,0,0,0,0,3,3,0,0
0,44,0,0,0,0,0,0,1,2,0,0
0,44,0,0,0,1,0,0,2,3,0,0
0,44,0,0,0,0,0,0,3,2,0,0
0,44,0,0,0,0,0,0,2,2,0,0
0,44,1,0,0,0,0,0,0,0,0,0
0,44,0,0,0,0,0,0,0,2,0,0
0,44,0,0,1,0,0,0,0,1,0,0
0,44,0,0,1,0,1,0,2,0,0,1
0,44,1,0,0,0,0,0,0,0,0,0
0,44,1,0,0,0,0,0,0,1,0,0
0,44,0,0,0,0,0,0,0,2,0,0
0,44,0,0,0,0,0,0,0,4,0,3
0,44,1,0,0,0,0,0,0,4,0,0
0,44,0,0,0,0,0,0,0,1,0,0
0,44,0,0,0,0,0,0,0,1,0,0
0,44,0,0,0,0,0,0,1,1,0,1
0,44,0,0,0,0,0,0,0,0,0,0
0,44,1,0,1,0,0,0,1,0,0,1
0,44,0,0,0,0,0,0,0,1,0,1
0,44,0,1,0,0,0,0,1,3,0,0
0,44,0,0,0,0,0,0,1,0,0,0
0,44,0,0,0,1,0,0,2,2,0,0
0,44,0,1,0,0,0,0,3,2,0,2
0,44,0,0,1,0,0,0,0,4,0,0
0,44,0,0,0,0,0,0,0,1,0,0
0,44,0,0,0,0,0,0,0,0,0,0
0,44,0,0,0,0,0,0,0,3,0,2
0,44,0,0,0,0,0,0,0,1,1,0
0,44,0,0,0,0,0,0,2,1,0,1
0,44,0,0,0,0,1,0,2,0,0,1
0,44,0,0,0,0,0,0,2,1,0,1
0,44,0,0,0,0,0,0,1,0,0,0
0,44,0,0,0,0,1,0,0,2,0,0
0,44,0,0,0,0,0,0,0,1,0,0
0,44,1,0,0,0,2,0,0,1,0,0
0,44,0,0,0,2,0,0,0,1,0,0
0,44,0,0,0,0,0,0,0,0,0,0
0,44,1,0,0,0,0,0,3,0,0,0
0,44,0,0,0,0,0,0,0,2,0,0
0,44,0,0,1,0,0,0,0,2,0,2
0,44,0,0,0,0,0,0,0,0,0,0
0,44,0,0,0,0,0,0,0,1,0,0
0,44,0,0,0,0,1,0,2,0,0,0
0,44,1,0,0,0,0,0,0,2,0,0
0,44,0,0,0,0,0,0,0,0,0,0
0,44,1,0,0,0,0,0,0,0,0,0
0,44,1,0,0,0,0,0,1,0,0,0
0,44,0,0,0,0,0,0,0,1,0,1
0,44,0,0,0,0,0,0,1,0,0,0
0,44,0,1,0,0,0,0,0,0,0,0
0,44,0,0,0,0,0,0,1,1,0,0
0,44,0,0,0,0,0,1,0,0,0,1
0,44,0,0,1,0,0,0,1,1,0,0
0,44,1,0,0,0,0,0,2,0,0,0
0,44,0,0,0,0,0,0,0,1,0,0
0,44,0,0,0,0,0,1,0,0,0,1
0,44,1,0,0,0,0,0,1,1,0,0
0,44,1,0,0,0,0,0,2,1,0,0
0,44,0,0,0,0,0,0,0,2,0,0
0,44,0,0,0,0,0,0,0,1,0,0
0,44,0,0,0,0,0,0,0,0,0,0
0,44,1,0,1,0,0,0,1,1,0,0
0,44,0,0,0,0,0,0,2,1,0,0
0,44,0,1,0,0,0,0,0,0,0,0
0,44,0,0,0,0,0,0,0,1,0,0
0,44,0,0,0,0,0,0,1,0,0,0
0,44,0,0,0,0,0,0,0,0,0,0
0,44,0,0,0,0,0,0,0,0,0,0
0,44,0,0,0,0,0,0,0,0,0,0
0,44,1,1,0,0,0,0,0,0,0,0
0,44,0,0,0,0,0,0,0,2,0,1
0,44,0,0,0,0,0,0,0,1,0,0
0,44,0,0,0,0,0,0,0,0,0,0
0,44,0,0,0,0,0,0,2,0,0,0
0,44,0,0,0,0,0,0,0,1,0,0
0,44,0,0,0,0,0,0,0,0,0,0
0,44,0,0,0,0,0,0,0,1,0,0
0,44,0,0,1,0,0,0,0,0,1,0
0,44,0,0,0,0,0,0,0,1,0,0
0,44,0,0,0,0,0,0,0,0,0,0
0,44,0,0,0,0,0,0,0,0,0,0
0,44,0,0,0,0,0,0,1,0,0,0
0,44,0,0,0,0,0,0,2,0,0,1
0,44,0,0,0,0,0,0,0,1,0,0
0,44,0,0,0,0,0,0,0,0,0,1
0,44,0,0,0,0,0,0,0,0,1,0
0,44,0,0,0,0,0,0,0,0,0,0
0,44,1,0,0,0,0,0,1,0,0,0
0,44,0,0,0,1,0,0,0,1,0,2
0,44,0,0,0,0,0,0,0,0,0,0
0,44,0,0,0,0,0,0,0,2,0,0
0,44,0,0,1,0,0,0,2,0,0,1
0,44,0,0,0,0,0,0,0,0,0,0
0,44,0,1,0,0,0,0,0,0,0,0
0,44,0,0,0,0,0,0,0,0,0,0
0,44,0,0,0,0,0,0,0,1,0,0
0,44,0,0,0,0,0,0,0,1,0,1
0,44,0,1,0,0,0,0,0,0,0,0
0,44,0,0,0,0,0,0,0,0,0,0
0,44,0,0,0,0,0,0,0,0,0,1
0,44,1,0,0,0,0,0,0,0,0,0
0,44,0,0,0,0,0,0,0,1,0,0
0,44,0,0,0,0,0,0,0,0,0,0
0,44,0,0,0,0,0,0,2,0,0,0
0,44,0,0,0,0,0,0,0,0,0,1
0,44,0,0,0,0,0,0,0,3,0,0
0,44,0,0,0,0,0,0,0,2,0,0
0,44,0,0,0,0,0,0,0,0,0,0
0,44,0,0,0,0,0,0,0,0,0,0
